img,player,position,height,weight,college,draft_yr,pick,drafted_by,yrs,fg_pct,fg3_pct,ft_pct,min_pg,pts_pg,trb_pg,ast_pg,fg_pg,fga_pg,fg3_pg,fg3a_pg,efg_pct,ft_pg,fta_pg,orb_pg,drb_pg,steals_pg,blocks_pg,tov_pg,pf_pg,ws_per_game,bpm,vorp,attend_college,inches,pounds,pos_num
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Mickey Dillard,PG, 6-3,170lb,Florida State,1981,55,CLE,1,0.367,0,0.652,6.7,2.2,0.5,1,0.9,2.4,0,0.1,0.367,0.5,0.7,0.2,0.3,0.2,0.1,0.5,1.2,-0.051,-7.4,-0.3,1,75,170,1
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Frank Brickowski,C, 6-9,240lb,Penn State,1981,57,NYK,12,0.519,0.324,0.74,22.3,10,4.7,1.9,3.9,7.6,0.1,0.2,0.524,2.1,2.8,1.4,3.3,0.9,0.4,1.9,3.1,0.088,-0.3,6.8,1,81,240,5
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Craig Dykema,SF, 6-8,190lb,Cal State Long Beach,1981,66,PHO,1,0.459,0.5,0.778,3.2,1.3,0.4,0.5,0.5,1.2,0.1,0.1,0.486,0.2,0.3,0.1,0.3,0.1,0,0.2,0.6,0.095,-4.6,-0.1,1,80,190,3
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Lewis Lloyd,SG, 6-6,205lb,Drake University,1981,76,GSW,7,0.524,0.213,0.771,24.2,13.2,3.1,2.9,5.6,10.7,0,0.1,0.525,2,2.6,1.3,1.8,0.9,0.3,2.1,2.1,0.101,0.3,5.5,1,78,205,2
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Kenny Dennard,PF, 6-8,220lb,Duke,1981,78,KCK,3,0.429,0.3,0.644,13.1,2.8,3,1,1.1,2.7,0,0.1,0.435,0.5,0.8,1.1,1.9,0.8,0.2,0.7,2,0.056,-0.4,0.5,1,80,220,4
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Larry Spriggs,SF, 6-7,230lb,Howard University,1981,81,HOU,5,0.517,0,0.752,13,5.2,2.3,1.3,2,3.9,0,0,0.517,1.1,1.5,0.7,1.5,0.5,0.2,1.2,2,0.074,-1.3,0.4,1,79,230,3
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Pete Verhoeven,PF, 6-9,215lb,Fresno State,1981,85,POR,6,0.505,0.25,0.689,11.4,3.5,2.3,0.5,1.5,3,0,0,0.505,0.5,0.7,1,1.3,0.5,0.2,0.6,2.2,0.078,-1.3,0.6,1,81,215,4
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Alex Bradley,SF, 6-6,215lb,Villanova,1981,86,NYK,1,0.524,0,0.604,8.5,3.5,1.7,0.3,1.4,2.6,0,0,0.524,0.7,1.2,0.8,0.9,0.3,0.1,0.7,0.9,0.053,-3.9,-0.2,1,78,215,3
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Kevin McKenna,SG, 6-5,195lb,Creighton,1981,88,LAL,6,0.414,0.367,0.819,14.2,5.4,1.3,1.4,2,5,0.4,1.2,0.456,0.9,1.1,0.4,0.9,0.8,0.1,0.8,2,0.056,-2.3,-0.2,1,77,195,2
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Joe Cooper,C, 6-10,230lb,Colorado,1981,95,NJN,3,0.506,0,0.543,16.2,4.5,4,0.8,1.9,3.7,0,0,0.506,0.8,1.5,1.9,2.1,0.5,0.9,1.4,2.4,0.037,-2,0,1,82,230,5
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Hank McDowell,PF, 6-9,215lb,Memphis,1981,102,GSW,6,0.451,0,0.71,9,2.9,2.3,0.5,1.1,2.5,0,0,0.451,0.7,1,0.9,1.3,0.2,0.1,0.6,1.3,0.052,-3.5,-0.7,1,81,215,4
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Garry Witts,SF, 6-7,190lb,Holy Cross,1981,103,WSB,1,0.583,0.5,0.825,10.7,2.9,1.3,0.8,1.1,1.8,0,0,0.589,0.7,0.9,0.6,0.7,0.4,0.1,0.8,1.6,0.104,-0.2,0.2,1,79,190,3
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Roger Burkman,SG, 6-5,175lb,Louisville,1981,130,CHI,1,0,0,0.833,5,0.8,1,0.8,0,0.7,0,0.2,0,0.8,1,0.3,0.7,1,0.3,0.5,1,0.093,7.1,0.1,1,77,175,2
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Clinton Wheeler,PG, 6-1,185lb,William Paterson University,1981,150,KCK,2,0.489,0,0.741,10,2.9,0.8,1.8,1.2,2.5,0,0,0.489,0.5,0.6,0.4,0.4,0.7,0,0.9,0.7,0.058,-2.6,-0.1,1,73,185,1
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Bobby Cattage,PF, 6-9,250lb,Auburn,1981,165,UTA,2,0.404,0.143,0.765,6.7,3.1,1.4,0.1,1.1,2.8,0,0.1,0.406,0.8,1.1,0.5,0.9,0.2,0,0.4,1,0.027,-8.5,-0.9,1,81,250,4
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Derrick Rowland,SG, 6-5,195lb,State University of New York at Potsdam,1981,211,DEN,1,0.333,0,0.5,4.5,1.5,0.5,0.5,0.5,1.5,0,0,0.333,0.5,1,0,0.5,0,0,0,0.5,0.048,-7.6,0,1,77,195,2
https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/carrojo01.jpg,Joe Barry Carroll,C, 7-0,225lb,Purdue,1980,1,GSW,10,0.474,0,0.747,32.4,17.7,7.7,1.8,7.1,15,0,0,0.474,3.4,4.6,2.4,5.3,1,1.6,2.8,3.1,0.075,-0.7,7.5,1,84,225,5
https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/griffda01.jpg,Darrell Griffith,SG, 6-4,190lb,Louisville,1980,2,UTA,10,0.463,0.332,0.707,28,16.2,3.3,2.1,6.8,14.8,0.7,2.1,0.487,1.8,2.6,1,2.3,1.2,0.3,2.1,2.2,0.049,-1.3,3.6,1,76,190,2
https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/mchalke01.jpg,Kevin McHale,PF, 6-10,210lb,Minnesota,1980,3,BOS,13,0.554,0.261,0.798,31,17.9,7.3,1.7,7,12.7,0,0.2,0.555,3.7,4.7,2.4,4.9,0.4,1.7,1.9,2.8,0.18,2.5,33.9,1,82,210,4
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Kelvin Ransey,PG, 6-1,170lb,Ohio State,1980,4,CHI,6,0.454,0.132,0.782,24.4,11.4,1.9,5.2,4.7,10.3,0,0.3,0.456,2,2.6,0.5,1.4,1,0.1,2,1.9,0.074,-2.4,-1.3,1,73,170,1
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,James Ray,PF, 6-8,215lb,Jacksonville University,1980,5,DEN,3,0.428,0.333,0.629,8.2,3.2,2.2,0.7,1.3,3.1,0,0,0.429,0.6,0.9,0.7,1.6,0.4,0.4,1,1.7,-0.017,-4.2,-0.5,1,80,215,4
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Mike O'Koren,SF, 6-7,207lb,UNC,1980,6,NJN,8,0.49,0.271,0.651,21.6,8.2,3.4,2.1,3.6,7.3,0.1,0.3,0.495,1,1.6,1.2,2.2,0.8,0.2,1.3,2.2,0.08,-0.5,3.2,1,79,207,3
https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/gminsmi01.jpg,Mike Gminski,C, 6-11,250lb,Duke,1980,7,NJN,14,0.465,0.122,0.843,25.6,11.7,6.9,1.3,4.5,9.6,0,0.1,0.465,2.7,3.2,2.2,4.7,0.5,1.1,1.5,1.7,0.111,-0.6,8.7,1,83,250,5
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Andrew Toney,SG, 6-3,178lb,Louisiana,1980,8,PHI,8,0.5,0.342,0.797,26.9,15.9,2.2,4.2,6.1,12.2,0.3,0.9,0.512,3.4,4.3,0.5,1.7,0.8,0.2,3,2.9,0.103,-1.2,2.6,1,75,178,2
https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/brookmi01.jpg,Michael Brooks,SF, 6-7,220lb,La Salle,1980,9,SDC,6,0.486,0.152,0.714,29.4,12.8,6.3,2.6,5.2,10.8,0,0.1,0.486,2.3,3.2,2.6,3.7,1.2,0.4,2,3.1,0.085,1,7.1,1,79,220,3
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Ronnie Lester,PG, 6-2,175lb,Iowa,1980,10,POR,6,0.469,0.227,0.788,19.8,7.3,1.9,4,2.7,5.8,0,0.1,0.47,1.8,2.3,0.6,1.3,0.7,0.1,1.9,1.6,0.061,-2.7,-0.8,1,74,175,1
https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/vandeki01.jpg,Kiki Vandeweghe,SF, 6-8,220lb,UCLA,1980,11,DAL,13,0.525,0.368,0.872,30.3,19.7,3.4,2.1,7.6,14.4,0.3,0.7,0.534,4.3,4.9,1.1,2.3,0.6,0.3,1.6,1.9,0.148,-0.1,11.7,1,80,220,3
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Mike Woodson,SG, 6-5,195lb,Indiana,1980,12,NYK,11,0.466,0.271,0.813,25.5,14,2.3,2.3,5.6,11.9,0.2,0.6,0.473,2.7,3.3,0.8,1.5,1.2,0.3,1.7,2.3,0.083,-1,4.9,1,77,195,2
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Rickey Brown,C, 6-10,215lb,Mississippi State,1980,13,GSW,5,0.464,0,0.667,13.2,4.4,3.5,0.4,1.8,3.9,0,0,0.464,0.7,1.1,1.2,2.3,0.3,0.3,0.9,2.3,0.051,-4.4,-2.7,1,82,215,5
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Wes Matthews,PG, 6-1,170lb,Wisconsin,1980,14,WSB,9,0.478,0.225,0.788,20,7.9,1.3,4.2,3.1,6.6,0.1,0.3,0.484,1.5,1.9,0.4,1,1,0.2,2.1,2.1,0.057,-2.9,-2.2,1,73,170,1
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Reggie Johnson,PF, 6-9,205lb,Tennessee,1980,15,SAS,4,0.505,0.143,0.716,19.6,8.4,4.1,0.9,3.5,6.9,0,0,0.505,1.4,2,1.4,2.6,0.4,0.6,1.3,3,0.088,-1.9,0.1,1,81,205,4
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Hawkeye Whitney,SG, 6-5,235lb,NC State,1980,16,KCK,2,0.462,0.286,0.75,15,5.8,2.1,1.2,2.5,5.4,0,0.1,0.464,0.8,1,0.6,1.5,0.8,0.1,0.9,1.8,0.062,-1.8,0,1,77,235,2
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Larry Drew,PG, 6-1,170lb,Missouri,1980,17,DET,10,0.467,0.291,0.798,25.7,11.4,1.8,5.2,4.6,9.9,0.2,0.6,0.475,1.9,2.4,0.4,1.4,1.1,0.1,2.2,1.8,0.064,-2.4,-2,1,73,170,1
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Don Collins,SF, 6-6,190lb,Washington State,1980,18,ATL,6,0.485,0.069,0.749,20.2,9.8,2.8,1.8,4.1,8.4,0,0.1,0.485,1.7,2.3,1.4,1.3,1.1,0.3,1.8,2.5,0.082,0.4,3.7,1,78,190,3
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,John Duren,PG, 6-3,195lb,Georgetown,1980,19,UTA,3,0.435,0.12,0.75,14.7,3.5,1.1,2,1.6,3.6,0,0.1,0.437,0.4,0.5,0.3,0.8,0.5,0.1,1,2,-0.014,-5.8,-2.9,1,75,195,1
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Bill Hanzlik,SF, 6-7,185lb,Notre Dame,1980,20,SEA,10,0.434,0.213,0.781,20.8,7.2,2.8,2.8,2.5,5.7,0.1,0.3,0.439,2.3,2.9,0.9,1.8,1,0.3,1.5,3,0.076,-1,3.8,1,79,185,3
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Monti Davis,PF, 6-7,205lb,Tennessee State,1980,21,PHI,1,0.2,0,0.2,5,1.5,2,0,0.5,2.5,0,0,0.2,0.5,2.5,1,1,0,0.5,0,0,-0.311,-22.3,-0.1,1,79,205,4
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Chad Kinch,SG, 6-4,190lb,UNC Charlotte,1980,22,CLE,1,0.369,0,0.778,8.6,2.9,0.8,1.1,1.3,3.4,0,0,0.369,0.3,0.4,0.2,0.6,0.3,0.1,0.7,0.8,-0.071,-8.3,-0.6,1,76,190,2
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Carl Nicks,PG, 6-1,175lb,Indiana State University,1980,23,DEN,3,0.462,0,0.57,16.5,6.8,1.9,1.6,2.9,6.2,0,0.1,0.462,1.1,1.9,0.7,1.2,0.8,0,1.5,2.2,-0.007,-4.5,-1.6,1,73,175,1
