,draft_yr,pick,fg_pct,fg3_pct,ft_pct,min_pg,pts_pg,trb_pg,ast_pg,fg_pg,fga_pg,fg3_pg,fg3a_pg,efg_pct,ft_pg,fta_pg,orb_pg,drb_pg,steals_pg,blocks_pg,tov_pg,pf_pg,ws_per_game,bpm,vorp,attend_college,inches,pounds,pos_num,player_comp
49,2018,60,0,0,0.5,5.5,1,0.5,0,0,1.5,0,0,0,1,2,0,0.5,1,0,0.5,0,-0.247,-13.3,0,1,82,200,4,Kris Joseph
50,2017,1,0.414,0.267,0.534,20.6,7.7,3.4,3.4,3.3,8.1,0.1,0.5,0.421,0.9,1.8,1.1,2.3,0.9,0.3,1.3,2.2,0.038,-3.1,-0.2,1,76,200,2,Dejounte Murray
51,2017,2,0.38,0.315,0.437,32.4,10,6.2,6.4,3.9,10.3,1.7,5.3,0.461,0.5,1.2,1.2,4.9,1.6,0.6,2.4,2.3,0.053,1.2,2.6,1,78,190,1,Marcus Smart
52,2017,3,0.461,0.4,0.84,30.8,14.8,5.5,1.9,5.4,11.8,1.4,3.5,0.52,2.6,3.1,0.8,4.8,1.1,0.7,1.5,2.1,0.118,0.1,2.6,1,80,208,3,Tobias Harris
53,2017,4,0.415,0.294,0.65,25.3,12.3,4.5,1.9,4.7,11.4,0.8,2.8,0.452,2.1,3.2,1,3.4,1,0.6,2,2.7,-0.029,-4.6,-2.5,1,80,200,3,Brandon Ingram
54,2017,5,0.439,0.345,0.725,29.7,14.6,3.3,5.9,5.4,12.3,0.9,2.5,0.474,2.9,4,0.5,2.8,1.3,0.4,2.6,2.4,0.053,-1.3,0.8,1,75,175,1,Jeff Teague
55,2017,6,0.419,0.327,0.806,24.8,8.5,5,1,3.1,7.4,1,3.1,0.487,1.3,1.6,1.1,3.9,0.9,1.3,1,1.9,0.08,-0.3,1.1,1,82,210,4,Al-Farouq Aminu
56,2017,7,0.432,0.362,0.859,30.9,16.7,8.2,1.3,6,13.8,2.2,6.1,0.512,2.6,3,1.3,6.9,0.6,0.6,1.4,1.9,0.079,-1.9,0.1,1,84,240,4,Kyle Kuzma
57,2017,8,0.354,0.305,0.735,21.6,5.9,2.2,3.1,2.3,6.5,0.7,2.2,0.407,0.6,0.8,0.4,1.8,0.8,0.3,1.5,2.4,-0.033,-4.5,-1.7,0,78,200,1,Dante Exum
58,2017,9,0.407,0.316,0.668,29.2,14.5,3.4,5,5.6,13.7,1.4,4.5,0.459,1.9,2.9,0.7,2.7,1.1,0.3,2.9,2.3,-0.009,-2.4,-0.3,1,75,195,1,Brandon Knight
59,2017,10,0.441,0.321,0.72,16.8,5.6,3.8,0.9,2.1,4.8,0.5,1.6,0.496,0.8,1.2,1.1,2.7,0.3,0.7,0.9,2.1,0.072,-1.3,0.4,1,84,235,5,Jarell Martin
60,2017,11,0.376,0.335,0.871,15.5,7.9,1.5,1.5,2.8,7.4,1.4,4.2,0.471,0.9,1,0.2,1.3,0.4,0.2,1,1.2,0.007,-4.1,-1.1,1,75,200,2,Nik Stauskas
61,2017,12,0.441,0.403,0.847,21.3,8.6,2.6,1.8,3.2,7.2,1.4,3.4,0.536,0.9,1,0.2,2.4,0.5,0.2,0.9,1.3,0.085,-1.5,0.4,1,77,206,2,Wayne Ellington
62,2017,13,0.434,0.351,0.805,33.6,22.1,3.9,3.9,8.1,18.5,2.4,6.9,0.499,3.6,4.4,0.7,3.2,1.4,0.4,2.8,2.7,0.094,0.8,3.7,1,75,215,2,Bradley Beal
63,2017,14,0.55,0.136,0.728,21.7,8,6.5,1.9,3,5.5,0,0.1,0.551,2,2.7,1.9,4.6,0.7,0.7,1.2,2.3,0.161,1.8,3.2,1,82,255,5,Cody Zeller
64,2017,15,0.445,0.335,0.765,20.9,7,2.7,1.1,2.7,6.1,1,2.9,0.524,0.6,0.8,0.5,2.2,0.4,0.2,0.5,1.2,0.059,-2.5,-0.4,1,80,210,3,Doug McDermott
